N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
1773.0,대신 천연가스 선물 ETN(H),4365.0,하락  45,-1.02%,0.0,4285.0,4375.0,4240.0
1774.0,PLUS 글로벌방산,9685.0,하락  20,-0.21%,0.0,9740.0,9770.0,9655.0
1775.0,KODEX 미국S&P500유틸리티,13060.0,하락  90,-0.68%,0.0,13180.0,13265.0,13060.0
1776.0,TIGER 미국캐시카우100,13055.0,상승  65,+0.50%,0.0,13030.0,13275.0,13030.0
1777.0,N2 S&P500 버퍼10% 6월 ETN(H),13055.0,보합0,0.00%,0.0,13055.0,13055.0,13055.0
1778.0,N2 S&P500 버퍼10% 12월 ETN(H),13000.0,보합0,0.00%,0.0,13000.0,13000.0,13000.0
1779.0,N2 S&P500 버퍼10% 3월 ETN(H),12970.0,보합0,0.00%,0.0,12970.0,12970.0,12970.0
1780.0,일정실업,10790.0,하락  120,-1.10%,5000.0,10920.0,11080.0,10730.0
1781.0,KODEX 200가치저변동,10765.0,하락  70,-0.65%,0.0,10785.0,10815.0,10710.0
1782.0,HANARO 주주가치성장코리아액티브,9875.0,하락  65,-0.65%,0.0,9915.0,9930.0,9825.0
1783.0,에셋플러스 코리아플랫폼액티브,6100.0,하락  90,-1.45%,0.0,6190.0,6190.0,6100.0
1784.0,TIGER 유로스탁스배당30,12165.0,상승  85,+0.70%,0.0,12090.0,12200.0,12090.0
1785.0,한투 일본종합상사TOP5 ETN,12720.0,상승  235,+1.88%,0.0,12620.0,12820.0,12620.0
1786.0,PLUS 미국테크TOP10,19430.0,하락  65,-0.33%,0.0,19565.0,19660.0,19430.0
1787.0,메리츠 KAP 레버리지 중국 위안화 ETN,25165.0,상승  195,+0.78%,0.0,25215.0,25665.0,25165.0
1788.0,TIGER S&P글로벌인프라(합성),14795.0,상승  275,+1.89%,0.0,14525.0,14815.0,14525.0
1789.0,덕성우,9030.0,하락  270,-2.90%,500.0,9580.0,9580.0,8970.0
1790.0,한국패러랠,157.0,하락  9,-5.42%,0.0,160.0,161.0,153.0
1791.0,메리츠 블룸버그 인버스 2X WTI선물 ETN(H),12460.0,상승  240,+1.96%,0.0,12380.0,12490.0,12380.0
1792.0,삼성 나스닥 100 ETN,12430.0,하락  45,-0.36%,0.0,12460.0,12550.0,12430.0
1793.0,JW중외제약2우B,59100.0,상승  400,+0.68%,2500.0,59200.0,59200.0,59100.0
1794.0,한진칼우,22950.0,하락  250,-1.08%,2500.0,23650.0,23650.0,22350.0
1795.0,삼성 항셍테크 ETN(H) B,12305.0,상승  150,+1.23%,0.0,12250.0,12345.0,12250.0
1796.0,KB 인버스 2X 나스닥 100 ETN,3075.0,상승  55,+1.82%,0.0,3050.0,3100.0,3045.0
1797.0,한투 구리 선물 ETN,12275.0,상승  145,+1.20%,0.0,12315.0,12315.0,12275.0
1798.0,코오롱글로벌우,16500.0,하락  280,-1.67%,5000.0,16690.0,16700.0,16050.0
1799.0,TIGER 차이나CSI300인버스(합성),7165.0,하락  30,-0.42%,0.0,7240.0,7240.0,7095.0
1800.0,RISE 글로벌수소경제,7295.0,상승  35,+0.48%,0.0,7265.0,7300.0,7235.0
1801.0,RISE 국채30년레버리지(합성),24055.0,하락  420,-1.72%,0.0,24315.0,24320.0,23765.0
1802.0,HANARO CD금리액티브(합성),103955.0,상승  10,+0.01%,0.0,103950.0,103960.0,103950.0
1803.0,메리츠 레버리지 국채5년 ETN,11935.0,보합0,0.00%,0.0,11935.0,11935.0,11935.0
1804.0,KODEX 미국S&P500필수소비재,12530.0,상승  125,+1.01%,0.0,12450.0,12640.0,12440.0
1805.0,TIGER 일본TOPIX(합성 H),23785.0,상승  315,+1.34%,0.0,23480.0,23785.0,23480.0
1806.0,RISE 미국S&P배당킹,11315.0,상승  20,+0.18%,0.0,11325.0,11460.0,11290.0
1807.0,메리츠 인버스 2X 국채30년 ETN,11880.0,상승  180,+1.54%,0.0,12045.0,12045.0,11880.0
1808.0,HANARO Fn K-게임,4025.0,하락  65,-1.59%,0.0,4065.0,4065.0,3990.0
1809.0,대신 밀 선물 ETN(H),5935.0,상승  90,+1.54%,0.0,5815.0,5955.0,5815.0
1810.0,PLUS 우량회사채50,118680.0,상승  25,+0.02%,0.0,118660.0,118680.0,118610.0
1811.0,신한 S&P 인버스 2X 유로 선물 ETN(H),11860.0,하락  25,-0.21%,0.0,11840.0,11860.0,11835.0
1812.0,삼성 인버스 코스피 200 선물 ETN,11855.0,상승  55,+0.47%,0.0,11835.0,11940.0,11810.0
1813.0,삼성 인버스 2X 구리 선물 ETN(H),2370.0,하락  30,-1.25%,0.0,2355.0,2375.0,2345.0
1814.0,ACE 원자력테마딥서치,16915.0,하락  195,-1.14%,0.0,17110.0,17130.0,16785.0
1815.0,KODEX 구리선물(H),6960.0,상승  55,+0.80%,0.0,6935.0,6980.0,6920.0
1816.0,SOL 글로벌탄소배출권선물ICE(합성),11830.0,상승  30,+0.25%,0.0,11815.0,11975.0,11815.0
1817.0,삼성 은 선물 ETN(H),11790.0,상승  20,+0.17%,0.0,11780.0,11795.0,11775.0
1818.0,대원전선우,4495.0,상승  400,+9.77%,500.0,3930.0,4590.0,3930.0
1819.0,TIGER 한중반도체(합성),15665.0,상승  190,+1.23%,0.0,15465.0,15880.0,15465.0
